date,file_type,ticker,name,close,mode,mode_css,revl,mom,r,days,tr_weeks,pl_raw,pl_num,signal_type
2026-04-15,daily,^BVSP,Brazil - BOVESPA,198657.33,Dark Green,c4,186167.97,8.34,0.83,13,56,+7.14%,7.14,pP
2026-04-15,daily,$XAUUSD,Gold (spot),4841.81,Bear-Bull Flip,c20,4654.15,1.7,0.88,21,129,+3.64%,3.64,Buy
2026-04-15,daily,$XAGUSD,Silver (spot),79.57,Bear-Bull Flip,c20,72.59,1.08,1.32,21,50,+1.19%,1.19,Buy
2026-04-15,daily,^BEL20,Belgium - BEL20,5485.91,Dark Green,c4,5204.95,8.77,0.34,4,0,+1.82%,1.82,pP
2026-04-15,daily,^TSX,Canada - TSX,34102.36,Dark Green,c4,32746.16,7.11,0.59,8,49,+4.34%,4.34,pP
2026-04-15,daily,^MIB,Italy - MIB,48175.65,Dark Green,c4,45236.53,8.31,0.4,7,1,+7.05%,7.05,pP
2026-04-15,daily,^WIG20,Poland - WIG20,3636.72,Dark Green,c4,3408.1,8.68,0.66,8,63,+6.75%,6.75,pP
2026-04-15,daily,^DJT,Dow Transports,21263.78,Dark Green,c4,18930.96,9.66,0.5,9,23,+14.04%,14.04,pP+
2026-04-15,daily,^J10Y,Japan 10Y Yield,2.42,Light Green,c5,2.28,7.75,,27,78,+9.07%,9.07,pP
2026-04-15,daily,@KC,Coffee (KC),302.65,Bear-Bull Flip,c20,293.09,-0.73,-0.76,10,16,-2.80%,-2.8,Buy
2026-04-15,daily,@CT,Cotton #2 (CT),76.52,Dark Green,c4,70.07,8.91,-0.4,35,6,+17.33%,17.33,pP+
2026-04-15,daily,ADBE,Adobe Systems,235.72,Light Red,c7,248.64,-2.91,-1.08,21,14,+5.05%,5.05,dBuy
2026-04-15,daily,AEP,American Electric Power Co,135.46,Light Green,c5,131.3,4.92,0.5,10,63,+3.08%,3.08,dSell
2026-04-15,daily,APP,AppLovin Corp,433.51,Bear-Bull Flip,c20,401.53,-1.11,-0.5,18,11,-1.21%,-1.21,Buy
2026-04-15,daily,AXON,Axon Enterprise,380.86,Light Red,c7,439.46,-7.88,-0.82,22,25,+24.75%,24.75,spBuy
2026-04-15,daily,CHTR,Charter Communications,215.57,Bull-Bear Flip,c18,224.67,0.96,-0.85,5,4,-4.89%,-4.89,Sell
2026-04-15,daily,CSX,CSX Corp,42.51,Dark Green,c4,40.43,7.04,0.47,9,47,+2.86%,2.86,pP
2026-04-15,daily,DASH,DoorDash Inc,163.55,Bear-Bull Flip,c20,155.63,0.46,-0.71,64,22,+23.04%,23.04,Buy
2026-04-15,daily,FAST,Fastenal Co,44.62,Bull-Bear Flip,c18,46.99,3.48,0.44,9,12,-4.15%,-4.15,Sell
2026-04-15,daily,FER,Ferrovial SE,72.28,Dark Green,c4,66.07,9.38,0.62,8,70,+10.88%,10.88,pP+
2026-04-15,daily,KHC,Kraft Heinz Co,22.11,Bull-Bear Flip,c18,22.91,2.29,-0.74,7,56,-2.98%,-2.98,Sell
2026-04-15,daily,MSTR,Strategy Inc,137.41,Bear-Bull Flip,c20,127.95,-0.33,-1.09,12,32,-5.80%,-5.8,Buy
